"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 25, 2014","431.05","433.00","433.20","430.33","-","-0.43%"
"Jul 24, 2014","432.90","432.31","433.24","431.82","-","0.14%"
"Jul 23, 2014","432.29","431.51","432.57","431.45","-","0.20%"
"Jul 22, 2014","431.41","428.74","431.72","428.74","-","0.66%"
"Jul 21, 2014","428.58","429.72","429.97","427.49","-","-0.21%"
"Jul 18, 2014","429.50","426.95","429.88","426.35","-","0.48%"
"Jul 17, 2014","427.45","431.34","431.54","427.16","-","-0.88%"
"Jul 16, 2014","431.23","429.00","431.41","428.78","-","0.52%"
"Jul 15, 2014","429.01","430.32","431.03","428.13","-","-0.26%"
"Jul 14, 2014","430.12","427.58","430.53","427.53","-","0.62%"
"Jul 11, 2014","427.48","427.05","427.72","426.28","-","0.04%"
"Jul 10, 2014","427.31","429.96","430.06","425.61","-","-0.57%"
"Jul 09, 2014","429.78","428.74","430.02","428.01","-","0.19%"
"Jul 08, 2014","428.98","431.71","431.89","428.37","-","-0.66%"
"Jul 07, 2014","431.84","433.57","433.60","431.52","-","-0.42%"
"Jul 04, 2014","433.65","434.15","434.24","433.65","-","-0.03%"
"Jul 03, 2014","433.79","432.17","433.87","431.76","-","0.38%"
"Jul 02, 2014","432.15","431.55","432.47","431.55","-","0.21%"
"Jul 01, 2014","431.26","428.75","431.98","428.69","-","0.59%"
"Jun 30, 2014","428.75","428.16","429.13","427.95","-","0.18%"
"Jun 27, 2014","427.98","427.38","428.13","426.82","-","0.18%"
"Jun 26, 2014","427.22","427.29","428.06","425.43","-","0.01%"
"Jun 25, 2014","427.19","427.33","427.36","425.84","-","-0.05%"
"Jun 24, 2014","427.40","429.00","429.74","427.26","-","-0.37%"
"Jun 23, 2014","429.00","429.62","430.04","428.54","-","-0.07%"
"Jun 20, 2014","429.32","429.61","429.69","429.04","-","-0.11%"
"Jun 19, 2014","429.80","427.90","430.19","427.90","-","0.60%"
"Jun 18, 2014","427.23","425.23","427.81","425.07","-","0.48%"
"Jun 17, 2014","425.21","424.99","425.33","423.94","-","0.06%"
"Jun 16, 2014","424.95","425.20","425.61","424.17","-","-0.04%"
"Jun 13, 2014","425.12","424.94","425.44","423.81","-","0.03%"
"Jun 12, 2014","424.99","426.08","426.38","424.60","-","-0.31%"
"Jun 11, 2014","426.30","427.31","427.53","425.79","-","-0.23%"
"Jun 10, 2014","427.27","427.13","427.35","426.19","-","0.05%"
"Jun 09, 2014","427.04","426.82","427.53","426.34","-","0.12%"
"Jun 06, 2014","426.53","424.72","426.61","424.66","-","0.56%"
"Jun 05, 2014","424.14","422.22","424.78","421.94","-","0.45%"
"Jun 04, 2014","422.25","422.04","422.25","420.86","-","0.05%"
"Jun 03, 2014","422.04","422.12","422.40","421.25","-","-0.01%"
"Jun 02, 2014","422.07","421.56","422.16","420.88","-","0.13%"
"May 30, 2014","421.53","421.55","421.79","420.69","-","-0.01%"
"May 29, 2014","421.59","419.92","421.59","419.89","-","0.38%"
"May 28, 2014","420.01","420.38","420.77","419.41","-","-0.02%"
"May 27, 2014","420.11","419.50","420.44","419.17","-","0.14%"
"May 26, 2014","419.52","418.59","419.54","418.50","-","0.27%"
"May 23, 2014","418.41","417.21","418.41","416.95","-","0.31%"
"May 22, 2014","417.11","415.86","417.48","415.86","-","0.41%"
"May 21, 2014","415.41","413.19","415.71","413.06","-","0.47%"
"May 20, 2014","413.47","415.38","415.44","412.98","-","-0.47%"
