"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 10, 2017","2,040.25","2,043.87","2,044.10","2,037.16","-","-0.10%"
"Nov 09, 2017","2,042.36","2,050.78","2,054.25","2,035.58","-","-0.41%"
"Nov 08, 2017","2,050.70","2,048.05","2,051.41","2,045.48","-","0.19%"
"Nov 07, 2017","2,046.78","2,049.31","2,052.08","2,044.52","-","-0.00%"
"Nov 06, 2017","2,046.80","2,045.70","2,050.19","2,043.78","-","0.07%"
"Nov 03, 2017","2,045.47","2,042.32","2,045.82","2,039.22","-","0.11%"
"Nov 02, 2017","2,043.24","2,041.07","2,044.60","2,036.44","-","0.10%"
"Nov 01, 2017","2,041.17","2,036.79","2,047.05","2,036.73","-","0.21%"
"Oct 31, 2017","2,036.80","2,035.37","2,038.40","2,033.84","-","0.11%"
"Oct 30, 2017","2,034.59","2,035.77","2,038.04","2,032.58","-","-0.00%"
"Oct 27, 2017","2,034.60","2,023.26","2,036.28","2,022.93","-","0.44%"
"Oct 26, 2017","2,025.69","2,023.75","2,028.30","2,023.36","-","0.11%"
"Oct 25, 2017","2,023.48","2,031.59","2,032.51","2,017.36","-","-0.39%"
"Oct 24, 2017","2,031.38","2,030.98","2,033.82","2,029.59","-","0.07%"
"Oct 23, 2017","2,030.06","2,033.91","2,036.88","2,030.06","-","-0.27%"
"Oct 20, 2017","2,035.58","2,032.23","2,035.58","2,028.89","-","0.11%"
"Oct 19, 2017","2,033.29","2,031.26","2,033.46","2,024.76","-","0.14%"
"Oct 18, 2017","2,030.44","2,028.80","2,033.10","2,027.95","-","0.15%"
"Oct 17, 2017","2,027.36","2,028.73","2,030.01","2,025.69","-","-0.12%"
"Oct 16, 2017","2,029.89","2,027.01","2,031.59","2,027.00","-","0.09%"
"Oct 13, 2017","2,028.01","2,024.55","2,031.11","2,024.07","-","0.22%"
"Oct 12, 2017","2,023.64","2,025.47","2,027.73","2,022.15","-","-0.04%"
"Oct 11, 2017","2,024.54","2,020.53","2,025.91","2,019.86","-","0.15%"
"Oct 10, 2017","2,021.55","2,013.10","2,022.67","2,012.93","-","0.42%"
"Oct 09, 2017","2,013.12","2,015.05","2,016.34","2,012.41","-","-0.04%"
"Oct 06, 2017","2,014.02","2,015.27","2,016.32","2,009.78","-","-0.11%"
"Oct 05, 2017","2,016.15","2,010.52","2,016.15","2,008.22","-","0.26%"
"Oct 04, 2017","2,010.95","2,009.37","2,011.91","2,007.40","-","0.07%"
"Oct 03, 2017","2,009.63","2,004.81","2,009.67","2,002.64","-","0.25%"
"Oct 02, 2017","2,004.67","2,000.19","2,004.67","1,997.50","-","0.21%"
"Sep 29, 2017","2,000.55","1,993.07","2,000.59","1,991.31","-","0.41%"
"Sep 28, 2017","1,992.36","1,987.50","1,993.91","1,986.60","-","0.22%"
"Sep 27, 2017","1,988.00","1,984.51","1,990.08","1,980.61","-","0.24%"
"Sep 26, 2017","1,983.25","1,988.82","1,989.18","1,982.57","-","-0.29%"
"Sep 25, 2017","1,989.08","1,992.10","1,993.72","1,984.36","-","-0.28%"
"Sep 22, 2017","1,994.58","1,991.70","1,994.86","1,990.85","-","0.21%"
"Sep 21, 2017","1,990.33","1,992.66","1,994.01","1,988.99","-","-0.42%"
"Sep 20, 2017","1,998.69","1,995.86","1,999.38","1,986.12","-","0.13%"
"Sep 19, 2017","1,996.09","1,991.38","1,997.59","1,991.30","-","0.28%"
"Sep 18, 2017","1,990.58","1,986.60","1,993.63","1,986.54","-","0.14%"
"Sep 15, 2017","1,987.72","1,986.53","1,988.01","1,984.22","-","0.22%"
"Sep 14, 2017","1,983.42","1,985.93","1,986.08","1,981.08","-","-0.17%"
"Sep 13, 2017","1,986.74","1,989.15","1,990.41","1,983.60","-","-0.08%"
"Sep 12, 2017","1,988.28","1,981.70","1,988.28","1,981.33","-","0.32%"
"Sep 11, 2017","1,981.97","1,965.18","1,981.97","1,965.05","-","0.89%"
"Sep 08, 2017","1,964.52","1,965.77","1,969.36","1,964.52","-","-0.00%"
"Sep 07, 2017","1,964.57","1,958.73","1,966.63","1,958.00","-","0.28%"
"Sep 06, 2017","1,959.15","1,954.08","1,960.42","1,951.48","-","0.23%"
"Sep 05, 2017","1,954.64","1,962.11","1,963.82","1,948.21","-","-0.44%"
"Sep 04, 2017","1,963.32","1,965.76","1,965.94","1,962.07","-","-0.13%"
"Sep 01, 2017","1,965.79","1,961.94","1,968.04","1,960.30","-","0.31%"
"Aug 31, 2017","1,959.74","1,947.00","1,962.39","1,946.51","-","0.63%"
"Aug 30, 2017","1,947.53","1,942.08","1,948.04","1,941.00","-","0.13%"
"Aug 29, 2017","1,945.05","1,945.79","1,947.96","1,935.24","-","-0.06%"
"Aug 28, 2017","1,946.28","1,947.25","1,949.13","1,944.17","-","0.09%"
"Aug 25, 2017","1,944.56","1,939.46","1,951.21","1,938.57","-","0.25%"
"Aug 24, 2017","1,939.65","1,942.37","1,946.22","1,938.68","-","-0.13%"
"Aug 23, 2017","1,942.15","1,945.86","1,945.87","1,939.49","-","-0.16%"
"Aug 22, 2017","1,945.18","1,931.45","1,945.36","1,930.64","-","0.67%"
"Aug 21, 2017","1,932.22","1,930.13","1,932.45","1,925.16","-","0.09%"
"Aug 18, 2017","1,930.40","1,934.01","1,936.15","1,926.98","-","-0.31%"
"Aug 17, 2017","1,936.32","1,958.46","1,959.56","1,936.21","-","-0.91%"
"Aug 16, 2017","1,954.04","1,949.92","1,958.72","1,949.10","-","0.25%"
"Aug 15, 2017","1,949.23","1,952.32","1,954.18","1,947.28","-","-0.17%"
"Aug 14, 2017","1,952.58","1,937.72","1,954.66","1,936.45","-","0.77%"
"Aug 11, 2017","1,937.73","1,940.60","1,942.13","1,934.11","-","-0.13%"
"Aug 10, 2017","1,940.28","1,963.19","1,963.48","1,940.28","-","-1.10%"
"Aug 09, 2017","1,961.88","1,968.23","1,968.56","1,955.19","-","-0.25%"
"Aug 08, 2017","1,966.81","1,972.43","1,974.82","1,966.09","-","-0.25%"
"Aug 07, 2017","1,971.76","1,969.81","1,972.13","1,968.71","-","0.20%"
"Aug 04, 2017","1,967.77","1,968.53","1,971.42","1,964.54","-","-0.05%"
"Aug 03, 2017","1,968.72","1,969.31","1,970.90","1,966.61","-","-0.08%"
"Aug 02, 2017","1,970.29","1,969.78","1,971.13","1,963.79","-","-0.01%"
"Aug 01, 2017","1,970.39","1,962.13","1,971.42","1,962.13","-","0.47%"
"Jul 31, 2017","1,961.10","1,960.68","1,965.22","1,959.17","-","0.04%"
"Jul 28, 2017","1,960.32","1,964.38","1,964.47","1,955.70","-","-0.16%"
"Jul 27, 2017","1,963.54","1,967.43","1,971.25","1,956.86","-","0.08%"
"Jul 26, 2017","1,961.90","1,960.39","1,968.83","1,958.93","-","0.07%"
"Jul 25, 2017","1,960.59","1,954.08","1,964.51","1,954.04","-","0.29%"
"Jul 24, 2017","1,954.84","1,958.64","1,958.69","1,952.52","-","-0.20%"
"Jul 21, 2017","1,958.77","1,961.90","1,963.89","1,953.65","-","-0.23%"
"Jul 20, 2017","1,963.31","1,958.75","1,964.74","1,958.31","-","0.24%"
"Jul 19, 2017","1,958.56","1,948.14","1,958.56","1,948.04","-","0.46%"
"Jul 18, 2017","1,949.66","1,947.85","1,951.16","1,944.00","-","0.06%"
"Jul 17, 2017","1,948.58","1,949.63","1,950.91","1,947.10","-","0.03%"
"Jul 14, 2017","1,948.07","1,937.96","1,951.18","1,937.56","-","0.57%"
"Jul 13, 2017","1,936.94","1,933.56","1,938.24","1,933.31","-","0.21%"
"Jul 12, 2017","1,932.86","1,918.27","1,934.47","1,916.99","-","0.90%"
"Jul 11, 2017","1,915.67","1,917.76","1,919.77","1,910.23","-","-0.08%"
"Jul 10, 2017","1,917.11","1,914.86","1,920.07","1,913.50","-","0.21%"
"Jul 07, 2017","1,913.18","1,908.25","1,914.36","1,905.25","-","0.22%"
"Jul 06, 2017","1,909.01","1,921.14","1,921.36","1,908.64","-","-0.59%"
"Jul 05, 2017","1,920.33","1,919.22","1,922.27","1,914.53","-","0.07%"
"Jul 04, 2017","1,918.90","1,921.94","1,922.68","1,918.27","-","-0.09%"
