"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 18, 2016","944.81","943.70","949.27","943.21","-","0.14%"
"Feb 17, 2016","943.52","929.25","944.57","927.31","-","1.50%"
"Feb 16, 2016","929.55","920.08","929.55","919.48","-","1.05%"
"Feb 15, 2016","919.91","908.47","921.69","908.38","-","1.28%"
"Feb 12, 2016","908.31","899.34","908.75","893.98","-","0.96%"
"Feb 11, 2016","899.63","913.57","914.41","894.68","-","-1.27%"
"Feb 10, 2016","911.24","911.44","921.20","908.04","-","-0.10%"
"Feb 09, 2016","912.14","919.22","919.23","906.07","-","-0.70%"
"Feb 08, 2016","918.55","933.31","935.18","912.77","-","-1.61%"
"Feb 05, 2016","933.57","948.29","948.75","931.92","-","-1.49%"
"Feb 04, 2016","947.72","942.60","952.48","941.91","-","0.70%"
"Feb 03, 2016","941.13","941.31","943.82","928.04","-","0.03%"
"Feb 02, 2016","940.82","957.86","958.08","939.75","-","-1.75%"
"Feb 01, 2016","957.58","955.11","959.96","950.03","-","0.28%"
"Jan 29, 2016","954.86","935.88","955.39","935.19","-","2.02%"
"Jan 28, 2016","935.91","934.81","940.84","930.02","-","0.14%"
"Jan 27, 2016","934.61","936.61","943.92","932.10","-","-0.18%"
"Jan 26, 2016","936.25","928.83","937.24","922.00","-","0.80%"
"Jan 25, 2016","928.82","936.09","939.62","928.82","-","-0.84%"
"Jan 22, 2016","936.73","913.80","937.65","913.69","-","2.66%"
"Jan 21, 2016","912.44","910.35","919.25","904.74","-","0.25%"
"Jan 20, 2016","910.19","928.03","928.21","896.26","-","-1.91%"
"Jan 19, 2016","927.92","923.75","934.84","922.99","-","0.45%"
"Jan 18, 2016","923.80","927.39","927.88","923.76","-","-0.52%"
"Jan 15, 2016","928.60","946.10","947.87","921.61","-","-1.78%"
"Jan 14, 2016","945.42","944.26","949.14","932.38","-","0.14%"
"Jan 13, 2016","944.14","953.91","963.33","943.44","-","-0.96%"
"Jan 12, 2016","953.29","951.70","959.15","947.57","-","0.16%"
"Jan 11, 2016","951.80","956.53","958.79","946.36","-","-0.49%"
"Jan 08, 2016","956.50","966.22","969.68","955.92","-","-0.84%"
"Jan 07, 2016","964.65","986.48","986.61","964.65","-","-2.17%"
"Jan 06, 2016","986.07","999.08","999.40","983.89","-","-1.24%"
"Jan 05, 2016","998.44","999.09","1,000.68","995.29","-","-0.02%"
"Jan 04, 2016","998.63","1,019.43","1,019.46","991.49","-","-2.04%"
"Jan 01, 2016","1,019.38","1,019.42","1,019.47","1,019.38","-","0.00%"
"Dec 31, 2015","1,019.35","1,026.43","1,027.00","1,019.35","-","-0.69%"
"Dec 30, 2015","1,026.44","1,032.57","1,033.61","1,026.44","-","-0.56%"
"Dec 29, 2015","1,032.26","1,023.73","1,033.63","1,023.63","-","0.82%"
"Dec 28, 2015","1,023.89","1,026.32","1,026.68","1,020.31","-","-0.20%"
"Dec 25, 2015","1,025.97","1,026.54","1,026.65","1,025.93","-","-0.03%"
"Dec 24, 2015","1,026.30","1,025.23","1,027.86","1,025.23","-","0.16%"
"Dec 23, 2015","1,024.69","1,012.02","1,025.63","1,011.98","-","1.24%"
"Dec 22, 2015","1,012.09","1,005.44","1,012.90","1,005.32","-","0.65%"
"Dec 21, 2015","1,005.55","1,002.65","1,009.02","1,001.43","-","0.30%"
"Dec 18, 2015","1,002.54","1,014.76","1,015.93","1,002.54","-","-1.20%"
"Dec 17, 2015","1,014.74","1,020.22","1,026.79","1,014.37","-","-0.60%"
"Dec 16, 2015","1,020.91","1,008.07","1,021.59","1,008.00","-","1.33%"
"Dec 15, 2015","1,007.53","998.59","1,010.33","997.72","-","0.88%"
"Dec 14, 2015","998.71","1,002.00","1,002.30","992.34","-","-0.40%"
